Date,Open,High,Low,Close,Adj Close,Volume
25-03-2019,38016.76172,38016.76172,37667.39844,37808.91016,37808.91016,17000
26-03-2019,37886.28906,38297.69922,37800.07813,38233.41016,38233.41016,14600
27-03-2019,38372.03125,38475.92969,38001.33984,38132.87891,38132.87891,18800
28-03-2019,38208.30078,38593.64844,38148.44141,38545.71875,38545.71875,16000
01-04-2019,38858.87891,39115.57031,38808.73828,38871.87109,38871.87109,19800
02-04-2019,38988.57031,39121.69141,38846.96094,39056.64844,39056.64844,19700
03-04-2019,39167.05078,39270.14063,38826.55859,38877.12109,38877.12109,17000
04-04-2019,38935.75,38939.35156,38581.03906,38684.71875,38684.71875,13000
05-04-2019,38839.51953,38958.60156,38701.03906,38862.23047,38862.23047,15900
08-04-2019,38993.60156,39041.25,38520.96094,38700.53125,38700.53125,10500
09-04-2019,38730.92969,38978.98828,38598.71875,38939.21875,38939.21875,15100
10-04-2019,38898.60156,38950.44922,38542.28125,38585.35156,38585.35156,16200
11-04-2019,38621.57813,38649.98047,38460.25,38607.01172,38607.01172,14500
12-04-2019,38692.05859,38818.87109,38554.78906,38767.10938,38767.10938,17000
15-04-2019,38805.53906,38976.57813,38780.07813,38905.83984,38905.83984,20900
16-04-2019,39040.30078,39364.33984,39038.80859,39275.64063,39275.64063,14400
18-04-2019,39420.03906,39487.44922,39083.16016,39140.28125,39140.28125,14600
22-04-2019,39158.21875,39158.21875,38585.64844,38645.17969,38645.17969,14900
23-04-2019,38771.26953,38832.60938,38518.26172,38564.87891,38564.87891,11600
24-04-2019,38672.62891,39095.35156,38571,39054.67969,39054.67969,15200
25-04-2019,39101.78125,39262.21875,38663.98047,38730.85938,38730.85938,14400
26-04-2019,38865.82813,39103.16016,38765.32813,39067.32813,39067.32813,17300
30-04-2019,39056.92188,39105.87891,38753.46094,39031.55078,39031.55078,30900
02-05-2019,39036.51172,39189.94922,38882.98828,38981.42969,38981.42969,26200
03-05-2019,39009.55078,39172.76172,38920.17188,38963.26172,38963.26172,14800
06-05-2019,38719.32813,38719.32813,38509.78906,38600.33984,38600.33984,13400
07-05-2019,38815.46094,38835.53906,38236.17969,38276.62891,38276.62891,15600
08-05-2019,38244.17969,38248.57031,37743.07031,37789.12891,37789.12891,13100
09-05-2019,37747.91016,37780.46094,37405.39844,37558.91016,37558.91016,15300
10-05-2019,37632.35938,37721.98047,37370.39063,37462.98828,37462.98828,19700
13-05-2019,37491.30078,37583.57031,36999.83984,37090.82031,37090.82031,17800
14-05-2019,37146.57813,37572.69922,36956.10156,37318.53125,37318.53125,17700
15-05-2019,37539.05078,37559.67188,37047.87109,37114.87891,37114.87891,19400
16-05-2019,37179.12891,37518.94141,37052.30078,37393.48047,37393.48047,15700
17-05-2019,37494.42188,38001.12891,37415.35938,37930.76953,37930.76953,18800
20-05-2019,38701.17969,39412.55859,38570.03906,39352.67188,39352.67188,26400
21-05-2019,39449.44922,39571.73047,38884.85156,38969.80078,38969.80078,22700
22-05-2019,39086.21094,39249.07813,38903.87109,39110.21094,39110.21094,15600
23-05-2019,39591.76953,40124.96094,38651.60938,38811.39063,38811.39063,28100
24-05-2019,39076.28125,39476.96875,38824.26172,39434.71875,39434.71875,17100
27-05-2019,39536.23047,39821.94141,39353.16016,39683.28906,39683.28906,16000
28-05-2019,39765.64063,39828.64844,39498.64844,39749.73047,39749.73047,15300
29-05-2019,39714.26953,39767.92969,39420.5,39502.05078,39502.05078,12800
30-05-2019,39580.28125,39911.92188,39500.55859,39831.96875,39831.96875,17500
31-05-2019,39998.91016,40122.33984,39374.23828,39714.19922,39714.19922,17100
03-06-2019,39806.85938,40308.89844,39711.01953,40267.62109,40267.62109,34600
04-06-2019,40196,40312.07031,40031.05078,40083.53906,40083.53906,11900
06-06-2019,40136.42969,40159.26172,39481.14844,39529.71875,39529.71875,18700
07-06-2019,39581.76953,39703.10156,39279.46875,39615.89844,39615.89844,14800
10-06-2019,39787.32813,39979.48047,39619.96875,39784.51953,39784.51953,16200
11-06-2019,39900.44922,40066.30859,39760.01953,39950.46094,39950.46094,14200
12-06-2019,39974.17969,39982.10156,39623.53125,39756.80859,39756.80859,11700
13-06-2019,39679.35156,39800.80859,39461.26953,39741.35938,39741.35938,21800
14-06-2019,39797,39799.89844,39363.44922,39452.07031,39452.07031,20600
17-06-2019,39514.35938,39540.42188,38911.48828,38960.78906,38960.78906,12700
18-06-2019,39056.98047,39167.82813,38870.96094,39046.33984,39046.33984,17800
19-06-2019,39176.55859,39435.80078,38881.05078,39112.73828,39112.73828,18500
20-06-2019,39042.96094,39638.64063,38933.78125,39601.62891,39601.62891,20100
21-06-2019,39608.25,39617.94922,39121.30078,39194.48828,39194.48828,15600
24-06-2019,39160.23047,39300.01953,39021.69922,39122.96094,39122.96094,11600
25-06-2019,39131.94141,39490.64063,38946.03906,39434.94141,39434.94141,11300
26-06-2019,39379.12891,39674.21875,39319.64063,39592.07813,39592.07813,15000
27-06-2019,39633.96875,39817.21875,39510.44141,39586.41016,39586.41016,13200
28-06-2019,39630.51953,39675.25,39361.92188,39394.64063,39394.64063,11200
01-07-2019,39543.73047,39764.82031,39541.08984,39686.5,39686.5,10800
02-07-2019,39811.67969,39838.48828,39499.19141,39816.48047,39816.48047,14800
03-07-2019,39907.57031,39934.98828,39732.37891,39839.25,39839.25,13800
04-07-2019,39917.64844,39979.10156,39858.32813,39908.05859,39908.05859,14500
05-07-2019,39990.39844,40032.41016,39441.37891,39513.39063,39513.39063,26000
08-07-2019,39476.37891,39476.37891,38605.48047,38720.57031,38720.57031,22000
09-07-2019,38754.46875,38814.23047,38435.87109,38730.82031,38730.82031,18800
10-07-2019,38701.98828,38854.85156,38474.66016,38557.03906,38557.03906,14900
11-07-2019,38751.62109,38892.5,38631.30859,38823.10938,38823.10938,14600
12-07-2019,38941.10156,39021.83984,38684.85156,38736.23047,38736.23047,12900
15-07-2019,39009.94922,39023.96875,38696.60156,38896.71094,38896.71094,18000
16-07-2019,38961.85938,39173.89063,38845.26953,39131.03906,39131.03906,25100
17-07-2019,39171.10156,39284.73047,39081.14063,39215.64063,39215.64063,23400
18-07-2019,39204.46875,39204.46875,38861.25,38897.46094,38897.46094,24100
19-07-2019,39058.73047,39058.73047,38271.35156,38337.01172,38337.01172,19200
22-07-2019,38333.51953,38333.51953,37890.32031,38031.12891,38031.12891,23000
23-07-2019,38138.55859,38217.80859,37898.89844,37982.73828,37982.73828,19300
24-07-2019,37990.23047,38102.83984,37708.41016,37847.64844,37847.64844,16600
25-07-2019,37935.01953,38169.87109,37775.51172,37830.98047,37830.98047,18000
26-07-2019,37831.17969,37978.07031,37690.46875,37882.78906,37882.78906,24100
29-07-2019,38043.21875,38043.21875,37519.16016,37686.37109,37686.37109,21100
30-07-2019,37735.53906,37950.21094,37359.03125,37397.23828,37397.23828,22800
31-07-2019,37257.55078,37576.37109,37128.26172,37481.12109,37481.12109,27200
01-08-2019,37387.17969,37387.17969,36694.17969,37018.32031,37018.32031,21000
02-08-2019,36920.10938,37375.16016,36607.41016,37118.21875,37118.21875,28100
05-08-2019,36842.17188,36844.05078,36416.78906,36699.83984,36699.83984,25900
06-08-2019,36568.03125,37241.76953,36536.58984,36976.85156,36976.85156,25400
07-08-2019,37025.26953,37104.78906,36610.57031,36690.5,36690.5,25300
08-08-2019,36808.01172,37405.48047,36655.41016,37327.35938,37327.35938,24100
09-08-2019,37521.30078,37807.55078,37406.26172,37581.91016,37581.91016,27400
13-08-2019,37755.16016,37755.16016,36888.48828,36958.16016,36958.16016,28600
14-08-2019,37233.5,37473.60938,37000.76953,37311.53125,37311.53125,22500
16-08-2019,37383,37444.44922,36974.41016,37350.32813,37350.32813,26100
19-08-2019,37485.92188,37718.87891,37358.48828,37402.48828,37402.48828,17700
20-08-2019,37441.75,37511.55078,37219.89844,37328.01172,37328.01172,20900
21-08-2019,37298.73047,37406.55078,37022.51953,37060.37109,37060.37109,28500
22-08-2019,37087.57813,37087.57813,36391.35156,36472.92969,36472.92969,33100
23-08-2019,36387.67969,36807.33984,36102.35156,36701.16016,36701.16016,38400
26-08-2019,37363.94922,37544.48047,36492.64844,37494.12109,37494.12109,35600
27-08-2019,37658.48047,37731.51172,37449.69141,37641.26953,37641.26953,36500
28-08-2019,37655.76953,37687.82031,37249.19141,37451.83984,37451.83984,28600
29-08-2019,37381.80078,37381.80078,36987.35156,37068.92969,37068.92969,31700
30-08-2019,37222.26172,37397.96875,36829.80859,37332.78906,37332.78906,33400
03-09-2019,37181.76172,37188.37891,36466.01172,36562.91016,36562.91016,23600
04-09-2019,36575.23828,36776.30859,36409.53906,36724.73828,36724.73828,25600
05-09-2019,36821.71094,36898.98828,36541.87891,36644.42188,36644.42188,27400
06-09-2019,36785.58984,37012.98047,36727.66016,36981.76953,36981.76953,23000
09-09-2019,36969.48047,37244.07813,36784.46875,37145.44922,37145.44922,25300
11-09-2019,37251.03125,37343.46094,37193.57031,37270.82031,37270.82031,36700
12-09-2019,37330.46875,37435.14844,37048.67188,37104.28125,37104.28125,27500
13-09-2019,37175.85938,37413.5,37000.08984,37384.98828,37384.98828,34300
16-09-2019,37204.55859,37302.05859,37028.94141,37123.30859,37123.30859,19900
17-09-2019,37169.46094,37169.55859,36419.08984,36481.08984,36481.08984,20500
18-09-2019,36621.37891,36712.98828,36465.92188,36563.87891,36563.87891,25400
19-09-2019,36613.92969,36613.92969,35987.80078,36093.46875,36093.46875,31700
20-09-2019,36214.92188,38378.01953,36085.73828,38014.62109,38014.62109,61000
23-09-2019,38844,39441.12109,38674.03906,39090.03125,39090.03125,2800
